IRIS,Social_Housing,kmeans_class
751124504,0.0207003205158443,0
751124505,0.1639036388722734,0
751124506,0.0685054989152001,0
751124507,0.3291016636311106,2
751124508,0.0511639180328174,0
751124509,0.2886020604029037,2
751124510,0.7487239855481596,1
751124511,0.8730831471407935,1
751124512,0.1015032859709239,0
751124513,0.0384461903247048,0
751124514,0.0092172567367138,0
751124601,0.1480131896392507,0
751124602,0.2093887267180392,2
751124603,0.0448772376300565,0
751124604,0.3895125448530284,2
751124605,0.1496057710983724,0
751124606,0.2533163675029534,2
751124608,0.0344647826313277,0
751124609,0.5540878102071397,1
751124610,0.1115864746803066,0
751124611,0.0,0
751124612,0.0050773236432186,0
751124613,0.5174762095046174,2
751124614,0.077255869108011,0
751124615,0.3371592169016003,2
751124616,0.401114823191469,2
751124617,0.0799669414207758,0
751124618,0.1300532183713974,0
751124619,0.3825496381113862,2
751124620,0.1786037303963989,0
751124621,0.0068310118210924,0
751124622,0.0,0
751124623,0.131020093327794,0
751124624,0.0,0
751124701,0.5719475505527858,1
751124702,0.5219437999958849,2
751124703,0.2055523558287693,2
751124704,0.1338924193073365,0
751124705,0.2294526152107805,2
751124706,0.0,0
751124707,0.0,0
751124708,0.0,0
751124799,0.0,0
751124801,0.1140025946537459,0
751124802,0.3129819958342632,2
751124803,0.0297081268653406,0
751124804,0.0643239082708689,0
751124805,0.1594351994610182,0
751124806,0.1513943435842926,0
751124807,0.0440406358865648,0
751124808,0.1153489253305637,0
751124809,0.1039261426312225,0
751124810,0.029581338704228,0
751124811,0.0,0
751124812,0.4876660636284989,2
751124813,0.036794935468457,0
751124888,0.0,0
751124899,0.0,0
751134901,0.6910520359223978,1
751134902,0.2645538963210597,2
751134903,0.0664956150594411,0
751134904,0.6052608898777913,1
751134905,0.0219380213202366,0
751134906,0.0023979534169328,0
751134907,0.1617556003452343,0
751134908,0.4193694787895289,2
751134999,0.0,0
751135001,0.7840181760733641,1
751135002,0.905224094830682,1
751135003,0.5162764515363404,2
