IRIS,LIBIRIS,COM,LIBCOM,DISP_TP6014,DISP_Q114,DISP_MED14,DISP_Q314,DISP_EQ14,DISP_D114,DISP_D214,DISP_D314,DISP_D414,DISP_D614,DISP_D714,DISP_D814,DISP_D914,DISP_RD14,DISP_S80S2014,DISP_GI14,DISP_PTSAC14,DISP_PBEN14,DISP_PPEN14,DISP_PPAT14,DISP_PPSOC14,DISP_PPFAM14,DISP_PPMINI14,DISP_PPLOGT14,DISP_PIMPOT14,note
912010102,S3,91201,Draveil,23.750330600370276,12465.172413793103,16001.2,20762.777777777777,0.5185614431408065,9706.0,11389.166666666668,13058.888888888889,14618.571428571428,17504.0,19456.279069767443,21830.4,25492.222222222223,2.626439544840534,2.9571711217715597,0.2132754701,,,,,,,,,,0
912010103,S4,91201,Draveil,16.22931639645663,14346.521739130436,19693.33333333333,26733.846153846152,0.6290110569422336,10153.04347826087,13076.190476190475,15303.809523809525,17140.0,22061.33333333333,25030.0,29108.26086956522,35256.0,3.472456320657759,3.985774442371654,0.268433412,72.8,1.8,28.9,6.6,6.7,2.8,1.8,2.1,-16.8,0
912010104,S5,91201,Draveil,,22818.0,29735.33333333333,40764.5,0.6035412416205189,16462.61111111111,20568.0,24192.0,26895.33333333333,34219.52380952381,38414.75,44225.333333333336,53388.5,3.2430153175377203,3.9402019631573335,0.2658348171,73.3,5.7,29.3,13.4,1.7,1.0,0.4,0.3,-23.4,0
912010105,S6,91201,Draveil,,19185.0,25732.0,32804.0,0.5292631742577336,14794.0,17813.0,20381.11111111111,23023.0,28236.666666666668,31000.47619047619,35444.0,42467.0,2.870555630661079,3.434417255811363,0.2414708684,73.8,2.6,31.1,10.4,2.2,1.3,0.5,0.4,-20.1,0
912010106,S7,91201,Draveil,,23192.0,30742.0,39263.333333333336,0.5227809945134778,17228.333333333332,21613.2,24419.33333333333,27494.8,33733.46153846154,36840.0,41252.0,50508.66666666666,2.9317210022250166,3.574359875341973,0.2502296203,79.5,6.7,25.3,10.4,1.6,1.2,0.2,0.2,-23.5,0
912010107,S8,91201,Draveil,,12288.0,16727.8125,23926.666666666664,0.6957674033389999,9497.777777777776,11416.0,13423.6,15458.57142857143,19130.384615384613,22463.0,25443.2,31127.33333333333,3.277328029948526,3.929881605922708,0.2754746022,77.7,3.3,19.5,5.0,10.3,4.9,2.3,3.1,-15.8,0
912010108,S9,91201,Draveil,,20206.52173913044,26325.5,33917.30769230769,0.5208176844951568,14673.636363636364,18757.33333333333,21752.4,23886.5,29101.612903225807,32370.0,36846.66666666667,44258.0,3.016157611052599,3.359107914072119,0.2344099318,81.7,3.6,24.0,8.4,2.7,1.8,0.5,0.3,-20.4,0
912010109,S10,91201,Draveil,6.801715215141209,17493.666666666668,23409.5,30932.8,0.5740888670553976,13651.428571428572,16259.23076923077,18980.833333333336,21066.5625,26203.913043478264,29487.714285714286,32885.333333333336,40103.333333333336,2.9376656899679086,3.476112748162681,0.2452743881,78.7,3.4,24.6,8.1,4.3,2.2,1.1,1.0,-19.1,0
912010110,S12,91201,Draveil,8.379888268156424,19705.5,25918.0,33296.0,0.5243653059649664,13342.222222222224,18069.6,21059.615384615383,23575.0,28172.14285714286,31322.5,35492.0,42032.66666666666,3.150349766822117,3.916093871151239,0.2550301129,74.7,3.5,29.6,10.5,2.7,1.7,0.5,0.5,-21.0,0
912010111,S13,91201,Draveil,10.505007457916046,16782.0,23865.0,32023.0,0.6386339828200294,12120.0,15374.666666666666,17976.0,20836.0,26902.222222222223,30377.0,34213.333333333336,42468.57142857143,3.504007543611504,4.230407122271673,0.2813893239,75.5,2.1,28.3,9.7,4.3,2.2,1.0,1.0,-19.9,0
912150101,Plaine 1 Sud,91215,Épinay-sous-Sénart,24.382022471910112,12457.333333333334,16908.0,21285.6,0.522135478274584,8450.0,11280.0,13387.222222222224,15063.0,18651.875,20322.14285714286,22509.166666666668,25401.0,3.00603550295858,3.4646295842284056,0.2341108422,77.1,2.0,20.0,3.4,10.7,5.2,2.5,3.0,-13.2,0
912150102,Plaine 1 Nord,91215,Épinay-sous-Sénart,,12101.6,15750.0,20226.785714285717,0.515884807256236,8998.125,11117.692307692309,12723.333333333334,14208.75,17157.2,19024.23076923077,21272.5,25470.0,2.8305897061887895,3.178388445204745,0.2202295268,,,,,,,,,,0
912150103,Les Cinéastes,91215,Épinay-sous-Sénart,25.943520717867514,12136.0,16063.076923076922,20858.0,0.5429843884685376,9155.357142857143,11289.333333333334,12878.333333333334,14295.897435897436,17592.5,19615.714285714286,22543.5,27047.33333333333,2.9542630518171764,3.3145437846266423,0.2345819782,76.6,1.0,19.1,3.6,12.5,6.0,3.0,3.5,-12.8,0
912150104,Forêt,91215,Épinay-sous-Sénart,,18874.0,24618.09523809524,30939.0,0.4900866571240666,14426.666666666666,17822.8,20444.4,22655.23809523809,26748.0,29331.0,32390.384615384613,37433.47826086957,2.594742023627743,3.022449336630879,0.214195446,78.8,2.6,28.0,6.6,2.6,1.7,0.5,0.4,-18.6,0
912160101,Le Breuil,91216,Épinay-sur-Orge,,20926.666666666668,27394.666666666668,35910.0,0.5469434439793633,15456.857142857143,19451.0,22363.33333333333,24691.90476190476,30030.0,33714.666666666664,39086.66666666666,44843.33333333333,2.901193490945612,3.846386863353085,0.2626490128,75.8,4.5,27.9,12.5,2.4,1.5,0.4,0.5,-23.1,0
912160102,La Terrasse,91216,Épinay-sur-Orge,,20727.777777777777,27924.0,35412.0,0.5258638526794952,15368.275862068966,19325.2,22227.33333333333,25186.0,30708.8,33472.5,37522.66666666666,44274.28571428571,2.8808882734569323,3.3117011466611457,0.2341936684,82.7,3.7,24.5,8.3,2.5,1.4,0.5,0.5,-21.7,0
912160103,Le Mauregard,91216,Épinay-sur-Orge,,20112.17391304348,24859.0,31112.0,0.4424886796313818,15229.13043478261,18887.0,21233.33333333333,23085.416666666668,27290.666666666668,30129.565217391308,32902.666666666664,37640.5,2.4716118993918976,2.901480520028034,0.2063411956,75.9,1.7,30.7,7.6,2.7,1.8,0.5,0.4,-18.6,0
912160104,Centre Ville Les Graviers,91216,Épinay-sur-Orge,,20358.0,27346.0,36679.333333333336,0.5968453643433532,14270.0,18847.69230769231,21497.083333333336,24068.0,30962.777777777777,34781.333333333336,39505.6,47889.333333333336,3.3559448726932963,4.101695731271223,0.2732597244,76.9,3.6,28.8,10.7,2.5,1.3,0.7,0.6,-22.5,0
